user_id,movie_id,rating,timestamp
0,2757,4,978300019
0,1068,5,978300055
0,1444,4,978300055
0,861,5,978300055
0,1978,3,978300103
0,1519,5,978300172
0,2925,4,978300275
0,2411,5,978300719
0,1007,4,978300719
0,241,4,978300760
0,994,5,978300760
0,633,3,978300760
0,767,4,978301368
0,561,4,978301398
0,2302,4,978301570
0,1630,5,978301590
0,1697,5,978301619
0,2685,5,978301713
0,786,4,978301752
0,874,5,978301753
0,1631,4,978301753
0,1687,4,978301777
0,134,5,978301777
0,867,5,978301777
0,926,4,978301953
0,762,3,978301968
0,2404,4,978302039
0,1085,5,978302039
0,2369,4,978302091
0,1044,4,978302091
0,595,3,978302109
0,2513,4,978302124
0,496,4,978302149
0,2694,4,978302174
0,2398,4,978302188
0,1959,3,978302205
0,868,5,978302205
0,997,3,978302268
0,550,4,978302268
0,2034,4,978302281
0,1301,4,978824139
0,493,5,978824195
1,998,4,978298124
1,1010,4,978298151
1,1017,3,978298151
1,2325,3,978298196
1,1091,5,978298261
1,2538,4,978298372
1,1025,5,978298391
1,994,5,978298413
1,295,5,978298413
1,2616,4,978298434
1,2458,4,978298434
1,1614,5,978298458
1,1013,2,978298458
1,1007,4,978298478
1,549,5,978298517
1,2675,4,978298517
1,2980,5,978298542
1,1547,4,978298542
1,481,5,978298542
1,919,2,978298580
1,2133,5,978298600
1,1734,5,978298625
1,2621,4,978298625
1,104,5,978298625
1,2722,5,978298652
1,1045,5,978298652
1,2685,4,978298673
1,1147,5,978298709
1,996,5,978298730
1,1626,5,978298750
1,1622,4,978298775
1,768,5,978298775
1,1631,5,978298813
1,913,3,978298813
1,1517,4,978298813
1,3139,3,978298814
1,3217,3,978298814
1,2983,5,978298814
1,1623,5,978298841
1,1057,5,978298841
1,1485,5,978298841
1,2336,3,978298881
1,1637,2,978298881
1,750,2,978298905
1,931,3,978298905
1,2966,4,978298924
1,3077,5,978298958
1,2867,4,978298958
1,2452,3,978298958
1,2651,4,978299000
1,246,4,978299026
1,1951,3,978299046
1,547,5,978299083
1,2654,4,978299120
1,1051,3,978299120
1,1042,3,978299143
1,3182,2,978299173
1,1624,4,978299200
1,1043,2,978299200
1,1884,5,978299220
1,3162,3,978299250
1,826,4,978299269
1,1220,4,978299297
1,1913,5,978299297
1,1859,4,978299297
1,2806,4,978299321
1,587,3,978299351
1,216,3,978299351
1,925,4,978299386
1,1044,5,978299418
1,944,5,978299418
1,464,3,978299418
1,3359,1,978299535
1,1294,4,978299620
1,989,4,978299620
1,2032,4,978299641
1,1995,3,978299666
1,1959,3,978299666
1,332,5,978299686
1,3285,3,978299712
1,2688,3,978299712
1,1063,3,978299712
1,1697,4,978299773
1,2196,4,978299773
1,546,4,978299773
1,423,4,978299773
1,446,5,978299809
1,2511,3,978299809
1,356,5,978299809
1,147,4,978299809
1,2933,4,978299809
1,1352,5,978299809
1,2807,2,978299839
1,325,4,978299839
1,20,1,978299839
1,1191,3,978299839
1,1287,4,978299839
1,1675,3,978299861
1,1990,4,978299861
1,1157,5,978299889
1,1920,3,978299889
1,588,4,978299913
1,2063,2,978299913
2,549,3,978297018
2,2458,4,978297039
2,1637,4,978297068
2,3039,3,978297068
2,1211,3,978297095
2,1630,4,978297095
2,1064,5,978297396
2,1166,4,978297419
2,1165,5,978297419
2,3155,5,978297419
2,547,4,978297439
2,241,5,978297512
2,996,4,978297539
2,2470,4,978297539
2,997,5,978297570
2,2741,4,978297570
2,998,5,978297570
2,1010,4,978297600
2,1833,5,978297600
2,1089,4,978297600
2,1323,3,978297663
2,1059,1,978297663
2,446,4,978297690
2,1357,5,978297710
2,641,5,978297757
2,1675,4,978297757
